cod_mun,municipio,cod_dep,departamento,lat,lon
47268,EL RETÉN,47,MAGDALENA,10.65257,-74.32498
47318,GUAMAL,47,MAGDALENA,9.25095,-74.13918
47460,NUEVA GRANADA,47,MAGDALENA,9.73982,-74.33206
47545,PIJIÑO DEL CARMEN,47,MAGDALENA,9.52169,-74.15448
47551,PIVIJAY,47,MAGDALENA,10.43186,-74.41123
47555,PLATO,47,MAGDALENA,9.76787,-74.60214
47570,PUEBLOVIEJO,47,MAGDALENA,10.84806,-74.35832
47605,REMOLINO,47,MAGDALENA,10.6488,-74.58439
47660,SABANAS DE SAN ÁNGEL,47,MAGDALENA,10.10284,-74.26424
47675,SALAMINA,47,MAGDALENA,10.51342,-74.72958
47692,SAN SEBASTIÁN DE BUENAVISTA,47,MAGDALENA,9.34824,-74.20706
47703,SAN ZENÓN,47,MAGDALENA,9.32574,-74.35462
47707,SANTA ANA,47,MAGDALENA,9.52328,-74.32937
47720,SANTA BÁRBARA DE PINTO,47,MAGDALENA,9.5144,-74.65316
47745,SITIONUEVO,47,MAGDALENA,10.88851,-74.62872
47798,TENERIFE,47,MAGDALENA,9.92753,-74.73436
47960,ZAPAYÁN,47,MAGDALENA,10.12068,-74.69523
47980,ZONA BANANERA,47,MAGDALENA,10.79751,-74.17936
47053,ARACATACA,47,MAGDALENA,10.64664,-73.87469
47189,CIÉNAGA,47,MAGDALENA,10.88439,-74.03707
47288,FUNDACIÓN,47,MAGDALENA,10.45563,-73.88719
47001,SANTA MARTA,47,MAGDALENA,11.12018,-73.88717
47245,EL BANCO,47,MAGDALENA,9.11503,-73.98188
70001,SINCELEJO,70,SUCRE,9.31616,-75.42887
70110,BUENAVISTA,70,SUCRE,9.3133,-74.95356
70124,CAIMITO,70,SUCRE,8.79867,-75.12969
70204,COLOSÓ,70,SUCRE,9.5216,-75.35834
70215,COROZAL,70,SUCRE,9.20931,-75.25312
70221,COVEÑAS,70,SUCRE,9.40797,-75.65483
70230,CHALÁN,70,SUCRE,9.56819,-75.32474
70233,EL ROBLE,70,SUCRE,9.06993,-75.13861
70235,GALERAS,70,SUCRE,9.14051,-74.9822
70265,GUARANDA,70,SUCRE,8.37601,-74.67967
70400,LA UNIÓN,70,SUCRE,8.80075,-75.28634
70418,LOS PALMITOS,70,SUCRE,9.42148,-75.21494
70429,MAJAGUAL,70,SUCRE,8.53936,-74.71048
70508,OVEJAS,70,SUCRE,9.54871,-75.18442
70523,PALMITO,70,SUCRE,9.34003,-75.56434
70670,SAMPUÉS,70,SUCRE,9.16193,-75.35338
70678,SAN BENITO ABAD,70,SUCRE,8.84946,-74.9646
70702,SAN JUAN DE BETULIA,70,SUCRE,9.29095,-75.21648
70708,SAN MARCOS,70,SUCRE,8.59294,-75.16572
70713,SAN ONOFRE,70,SUCRE,9.81902,-75.49961
70717,SAN PEDRO,70,SUCRE,9.39807,-75.03454
70742,SAN LUIS DE SINCÉ,70,SUCRE,9.25962,-75.09145
70771,SUCRE,70,SUCRE,8.81287,-74.74998
70820,SANTIAGO DE TOLÚ,70,SUCRE,9.53358,-75.53627
70823,SAN JOSÉ DE TOLUVIEJO,70,SUCRE,9.4932,-75.44167
70473,MORROA,70,SUCRE,9.39672,-75.3263
88001,SAN ANDRÉS,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12.55939,-81.71609
88564,PROVIDENCIA,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",13.35896,-81.37246
81001,ARAUCA,81,ARAUCA,6.79465,-70.50492
81591,PUERTO RONDÓN,81,ARAUCA,6.41237,-70.96544
81220,CRAVO NORTE,81,ARAUCA,6.34619,-70.07027
81065,ARAUQUITA,81,ARAUCA,6.80016,-71.29759
81300,FORTUL,81,ARAUCA,6.70495,-71.8293
81736,SARAVENA,81,ARAUCA,6.90596,-71.85011
81794,TAME,81,ARAUCA,6.39019,-71.79249
15001,TUNJA,15,BOYACÁ,5.52221,-73.3778
15022,ALMEIDA,15,BOYACÁ,4.9557,-73.39399
15047,AQUITANIA,15,BOYACÁ,5.43863,-72.87258
15051,ARCABUCO,15,BOYACÁ,5.74657,-73.43726
15087,BELÉN,15,BOYACÁ,6.00983,-72.89779
15090,BERBEO,15,BOYACÁ,5.22643,-73.10477
15092,BETÉITIVA,15,BOYACÁ,5.92515,-72.8506
15097,BOAVITA,15,BOYACÁ,6.34969,-72.62317
15104,BOYACÁ,15,BOYACÁ,5.43986,-73.38677
15106,BRICEÑO,15,BOYACÁ,5.67705,-73.90272
15109,BUENAVISTA,15,BOYACÁ,5.48859,-73.95212
15114,BUSBANZÁ,15,BOYACÁ,5.85109,-72.87562
15131,CALDAS,15,BOYACÁ,5.57723,-73.88461
15135,CAMPOHERMOSO,15,BOYACÁ,5.00961,-73.14777
15162,CERINZA,15,BOYACÁ,5.96743,-72.96135
15172,CHINAVITA,15,BOYACÁ,5.1982,-73.33783
15176,CHIQUINQUIRÁ,15,BOYACÁ,5.60761,-73.79863
15183,CHITA,15,BOYACÁ,6.08836,-72.44032
15185,CHITARAQUE,15,BOYACÁ,5.98839,-73.43045
15187,CHIVATÁ,15,BOYACÁ,5.57328,-73.25962
15189,CIÉNEGA,15,BOYACÁ,5.40225,-73.27456
15204,CÓMBITA,15,BOYACÁ,5.68695,-73.32917
15212,COPER,15,BOYACÁ,5.44188,-74.02604
